draw_,sex,age_start,deathPerInfect,hospitalPerInfect
0,female,0,4.66E-06,0.03440376
0,female,5,4.66E-06,0.03440376
0,female,10,2.04E-05,0.014120728
0,female,15,2.04E-05,0.014120728
0,female,20,7.63E-05,0.037260823
0,female,25,7.63E-05,0.037260823
0,female,30,0.000287023,0.05343518
0,female,35,0.000287023,0.05343518
0,female,40,0.001248417,0.070240565
0,female,45,0.001248417,0.070240565
0,female,50,0.004745035,0.10483034
0,female,55,0.004745035,0.10483034
0,female,60,0.011090543,0.21072015
0,female,65,0.011090543,0.21072015
0,female,70,0.10355073,0.43787026
0,female,75,0.10355073,0.43787026
0,female,80,0.28947401,0.5526318
0,female,85,0.28947401,0.5526318
0,female,90,0.3517057,0.45406738
0,female,95,0.3517057,0.45406738
0,female,100,0.3517057,0.45406738
0,female,105,0.3517057,0.45406738
0,male,0,1.00E-05,0.029411694
0,male,5,1.00E-05,0.029411694
0,male,10,4.37E-05,0.006833712
0,male,15,4.37E-05,0.006833712
0,male,20,0.000162162,0.020975327
0,male,25,0.000162162,0.020975327
0,male,30,0.0006067,0.033035148
0,male,35,0.0006067,0.033035148
0,male,40,0.00256812,0.087042719
0,male,45,0.00256812,0.087042719
0,male,50,0.010663477,0.1552138
0,male,55,0.010663477,0.1552138
0,male,60,0.034748912,0.27027062
0,male,65,0.034748912,0.27027062
0,male,70,0.1742631,0.44504046
0,male,75,0.1742631,0.44504046
0,male,80,0.40849751,0.63398707
0,male,85,0.40849751,0.63398707
0,male,90,0.5231784,0.58940351
0,male,95,0.5231784,0.58940351
0,male,100,0.5231784,0.58940351
0,male,105,0.5231784,0.58940351
1,female,0,2.36E-06,0.033725575
1,female,5,2.36E-06,0.033725575
1,female,10,1.77E-05,0.00698055
1,female,15,1.77E-05,0.00698055
1,female,20,5.11E-05,0.033871278
1,female,25,5.11E-05,0.033871278
1,female,30,0.000307078,0.043681946
1,female,35,0.000307078,0.043681946
1,female,40,0.001036159,0.055339001
1,female,45,0.001036159,0.055339001
1,female,50,0.005434464,0.092638023
1,female,55,0.005434464,0.092638023
1,female,60,0.012532575,0.19188385
