Raw Median,Discount,Scenario,2024 to 2034,2024 to 2044,2034 to 2044,All
False,0%,Aus then UK 50%,195 (118 to 303),-7.0 (-21 to 7.9),3.4 (-10 to 19),9.8 (1.1 to 18)
False,0%,Aus then UK 70%,138 (78 to 227),-14 (-27 to 0.46),-3.7 (-17 to 10.0),9.4 (0.57 to 18)
False,0%,Aus then UK 90%,108 (55 to 181),-17 (-31 to -3.3),-7.9 (-21 to 5.6),9.2 (0.26 to 17)
False,0%,Aus then UK mandatory,97 (45 to 167),-18 (-32 to -4.2),-9.2 (-22 to 4.0),9.1 (0.17 to 17)
False,0%,Australia 50%,285 (145 to 520),16 (-6.8 to 50),34 (8.0 to 74),10 (2.2 to 18)
False,0%,Australia 70%,204 (94 to 386),4.1 (-15 to 29),19 (-1.7 to 49),9.5 (1.1 to 18)
False,0%,Australia 90%,157 (63 to 309),-2.9 (-21 to 19),11 (-7.6 to 37),9.1 (0.65 to 17)
False,0%,Australia mandatory,141 (54 to 287),-5.4 (-23 to 16),8.0 (-9.6 to 32),8.9 (0.35 to 17)
False,0%,BAU,-18 (-18 to -17),-18 (-18 to -17),-18 (-19 to -17),-7.7 (-8.4 to -7.1)
False,0%,KCl subsitute (10%) all foods,"466 (190 to 1,050)",-14.4 (-36.6 to 18.9),-8.49 (-30.8 to 26.7),8.01 (-0.811 to 15.9)
False,0%,KCl subsitute (30%) envelope,-19.6 (-56.6 to 57.0),-28.7 (-45.3 to -11.3),-16.7 (-32.7 to 3.32),5.89 (-3.42 to 13.7)
False,0%,KCl subsitute (4.5%) discretionary,123 (24.5 to 329),-14.4 (-33.4 to 12.8),-3.38 (-22.3 to 27.5),7.83 (-1.07 to 15.7)
False,0%,No change,0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0)
False,0%,UK 50%,104 (34 to 218),-9.3 (-26 to 9.7),3.0 (-13 to 24),9.6 (0.67 to 18)
False,0%,UK 70%,68 (10 to 159),-15 (-31 to 2.9),-3.5 (-19 to 15),9.2 (0.36 to 17)
False,0%,UK 90%,48 (-2.7 to 133),-18 (-34 to -1.3),-6.9 (-22 to 10),9.0 (-0.00 to 17)
False,0%,UK mandatory,41 (-7.1 to 121),-19 (-35 to -2.6),-8.2 (-23 to 8.9),8.9 (-0.02 to 17)
False,0%,UK mass media campaign,-9.6 (-50 to 84),-18 (-33 to 4.2),-0.28 (-15 to 26),2.6 (-6.1 to 13)
False,0%,UK salt reduction program,339 (180 to 606),30 (1.8 to 75),50 (18 to 105),10 (1.9 to 18)
False,0%,Who mandatory,16 (-28 to 100),-25 (-41 to -9.7),-15 (-30 to 1.3),7.2 (-1.7 to 15)
False,3%,Aus then UK 50%,83 (37 to 148),-18 (-32 to -3.1),-5.4 (-19 to 8.4),-0.29 (-10 to 9.1)
False,3%,Aus then UK 70%,63 (21 to 118),-20 (-35 to -6.2),-8.8 (-22 to 4.5),-0.78 (-11 to 8.6)
False,3%,Aus then UK 90%,51 (12 to 102),-22 (-36 to -8.0),-11 (-24 to 2.5),-1.0 (-11 to 8.5)
False,3%,Aus then UK mandatory,48 (8.8 to 98),-23 (-37 to -8.1),-11 (-25 to 1.9),-1.2 (-11 to 8.4)
False,3%,Australia 50%,116 (36 to 257),-4.8 (-23 to 21),13 (-6.9 to 44),0.87 (-9.0 to 10)
False,3%,Australia 70%,85 (15 to 208),-10 (-28 to 13),6.3 (-12 to 34),-0.14 (-10.0 to 9.4)
False,3%,Australia 90%,67 (1.6 to 194),-13 (-31 to 10.0),2.4 (-16 to 30),-0.65 (-11 to 8.8)
False,3%,Australia mandatory,61 (-1.8 to 182),-14 (-32 to 8.0),0.97 (-17 to 28),-0.89 (-11 to 8.6)
False,3%,BAU,-18 (-18 to -17),-18 (-18 to -17),-18 (-19 to -17),-14 (-15 to -14)
False,3%,KCl subsitute (10%) all foods,80.3 (-9.72 to 268),-36.2 (-55.4 to -17.8),-30.4 (-49.0 to -12.2),-3.98 (-14.7 to 5.65)
False,3%,KCl subsitute (30%) envelope,-56.5 (-79.7 to -27.0),-38.3 (-54.5 to -23.6),-25.0 (-39.8 to -11.0),-7.47 (-18.5 to 2.08)
False,3%,KCl subsitute (4.5%) discretionary,-16.7 (-55.8 to 55.9),-32.7 (-49.7 to -16.6),-21.6 (-37.4 to -5.30),-4.60 (-15.3 to 5.01)
False,3%,No change,0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0)
False,3%,UK 50%,32 (-16 to 116),-18 (-35 to 0),-4.5 (-21 to 15),-0.71 (-11 to 8.9)
False,3%,UK 70%,19 (-26 to 99),-21 (-38 to -2.8),-7.4 (-23 to 12),-1.1 (-12 to 8.4)
False,3%,UK 90%,12 (-33 to 90),-22 (-39 to -4.2),-9.1 (-25 to 10.0),-1.4 (-12 to 8.3)
False,3%,UK mandatory,9.4 (-35 to 87),-23 (-40 to -4.8),-9.7 (-26 to 9.5),-1.5 (-12 to 8.2)
