Raw Median,Discount,Scenario,2024 to 2034,2024 to 2044,2034 to 2044,All
False,0%,BAU,"-3,610,000 (-3,620,000 to -3,600,000)","-6,880,000 (-6,910,000 to -6,850,000)","-3,270,000 (-3,300,000 to -3,240,000)","-8,300,000 (-8,750,000 to -7,830,000)"
False,0%,Australia mandatory,394 (181 to 685),-101 (-481 to 274),128 (-166 to 465),"2,570 (68 to 6,450)"
False,0%,Australia 90%,395 (197 to 673),-50 (-395 to 302),157 (-123 to 473),"2,380 (106 to 5,880)"
False,0%,Australia 70%,398 (224 to 644),52 (-233 to 350),213 (-22 to 484),"1,950 (185 to 4,670)"
False,0%,Australia 50%,400 (247 to 621),154 (-77 to 408),268 (71 to 507),"1,520 (257 to 3,450)"
False,0%,Aus then UK mandatory,394 (251 to 500),"-656 (-1,250 to -145)",-292 (-767 to 123),"5,900 (62 to 15,500)"
False,0%,Aus then UK 90%,394 (268 to 491),"-550 (-1,100 to -104)",-224 (-654 to 149),"5,360 (119 to 14,200)"
False,0%,Aus then UK 70%,397 (302 to 471),-338 (-775 to 13),-83 (-426 to 203),"4,260 (191 to 11,200)"
False,0%,Aus then UK 50%,400 (330 to 453),-127 (-433 to 127),57 (-185 to 262),"3,150 (257 to 8,170)"
False,0%,KCl subsitute (30%) envelope,"-2,690 (-3,670 to -1,900)","-7,020 (-9,790 to -4,680)","-4,310 (-6,240 to -2,760)","10,600 (-8,050 to 36,700)"
False,0%,KCl subsitute (10%) all foods,"9,500 (4,250 to 20,700)","8,290 (3,040 to 19,400)","8,470 (3,220 to 19,600)","15,000 (6,430 to 29,200)"
False,0%,KCl subsitute (4.5%) discretionary,"4,420 (2,130 to 9,700)","3,730 (1,400 to 9,030)","3,980 (1,690 to 9,340)","7,270 (2,780 to 14,500)"
False,0%,UK mandatory,257 (-60 to 654),"-799 (-1,560 to -100)",-296 (-864 to 297),"5,890 (-10 to 15,700)"
False,0%,UK 90%,273 (-18 to 635),"-682 (-1,380 to -43)",-226 (-753 to 302),"5,340 (-2.1 to 14,300)"
False,0%,UK 70%,303 (55 to 613),-438 (-977 to 66),-88 (-500 to 336),"4,270 (129 to 11,400)"
False,0%,UK 50%,334 (132 to 586),-199 (-599 to 184),57 (-255 to 378),"3,190 (194 to 8,220)"
False,0%,UK mass media campaign,-3.9 (-34 to 19),-34 (-91 to 4.4),-0.39 (-31 to 22),12 (-33 to 44)
False,0%,UK salt reduction program,"654 (412 to 1,030)",339 (23 to 739),478 (192 to 872),"1,850 (278 to 4,320)"
False,0%,Who mandatory,158 (-350 to 903),"-1,690 (-2,960 to -596)","-850 (-1,820 to 68)","7,550 (-1,500 to 21,000)"
False,0%,No change,0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0)
False,3%,BAU,"-2,720,000 (-2,720,000 to -2,710,000)","-4,540,000 (-4,560,000 to -4,520,000)","-1,820,000 (-1,830,000 to -1,800,000)","-7,400,000 (-7,490,000 to -7,300,000)"
False,3%,Australia mandatory,118 (-4.6 to 312),-153 (-369 to 87),8.2 (-153 to 223),-52 (-601 to 612)
False,3%,Australia 90%,117 (3.9 to 296),-128 (-324 to 81),19 (-129 to 211),-39 (-529 to 566)
