Raw Median,Discount,Scenario,2024 to 2034,2024 to 2034,2024 to 2034,2024 to 2034,2024 to 2044,2024 to 2044,2024 to 2044,2024 to 2044,2034 to 2044,2034 to 2044,2034 to 2044,2034 to 2044,All,All,All,All
False,0%,Aus then UK 50%,0 to 40,All,All,1.01 (0.359 to 2.00),0 to 40,All,All,4.21 (1.45 to 8.34),0 to 40,All,All,3.19 (1.10 to 6.32),0 to 40,All,All,9.41 (3.32 to 18.6)
False,0%,Aus then UK 70%,0 to 40,All,All,1.42 (0.492 to 2.81),0 to 40,All,All,5.87 (2.05 to 11.8),0 to 40,All,All,4.45 (1.57 to 8.90),0 to 40,All,All,13.2 (4.67 to 26.1)
False,0%,Aus then UK 90%,0 to 40,All,All,1.82 (0.639 to 3.56),0 to 40,All,All,7.57 (2.69 to 15.2),0 to 40,All,All,5.72 (2.05 to 11.7),0 to 40,All,All,16.9 (6.16 to 34.1)
False,0%,Aus then UK mandatory,0 to 40,All,All,2.00 (0.707 to 4.02),0 to 40,All,All,8.33 (3.02 to 16.6),0 to 40,All,All,6.31 (2.30 to 12.7),0 to 40,All,All,18.7 (6.92 to 37.2)
False,0%,Australia 50%,0 to 40,All,All,0.736 (0.260 to 1.48),0 to 40,All,All,2.46 (0.885 to 4.92),0 to 40,All,All,1.72 (0.645 to 3.49),0 to 40,All,All,5.20 (1.95 to 10.4)
False,0%,Australia 70%,0 to 40,All,All,1.03 (0.357 to 2.09),0 to 40,All,All,3.44 (1.25 to 6.94),0 to 40,All,All,2.41 (0.892 to 4.84),0 to 40,All,All,7.28 (2.70 to 14.6)
False,0%,Australia 90%,0 to 40,All,All,1.33 (0.468 to 2.66),0 to 40,All,All,4.45 (1.63 to 8.89),0 to 40,All,All,3.12 (1.16 to 6.19),0 to 40,All,All,9.42 (3.54 to 18.6)
False,0%,Australia mandatory,0 to 40,All,All,1.46 (0.524 to 2.96),0 to 40,All,All,4.90 (1.80 to 9.88),0 to 40,All,All,3.44 (1.26 to 6.91),0 to 40,All,All,10.4 (3.83 to 20.8)
False,0%,BAU,0 to 40,All,All,"2,110,000 (2,110,000 to 2,110,000)",0 to 40,All,All,"4,100,000 (4,090,000 to 4,100,000)",0 to 40,All,All,"1,990,000 (1,990,000 to 1,990,000)",0 to 40,All,All,"7,490,000 (7,480,000 to 7,490,000)"
False,0%,KCl subsitute (10%) all foods,0 to 40,All,All,1.09 (0.380 to 2.31),0 to 40,All,All,9.34 (3.35 to 19.6),0 to 40,All,All,8.24 (2.98 to 17.3),0 to 40,All,All,25.9 (9.31 to 53.6)
