Raw Median,Discount,Scenario,2024 to 2034,2024 to 2044,2034 to 2044,All
False,0%,BAU,1649894.8034105538,3840585.740191405,2190690.936780851,25662358.213757247
False,0%,KCl subsitute (10%) all foods,-441.62385229321495,-4042.714693877409,-3601.0908415841936,-2.3847945840316237e-10
False,0%,KCl subsitute (30%) envelope,-5883.454176469733,-17406.233794980246,-11522.779618510514,-4.826290478376905e-10
False,0%,KCl subsitute (4.5%) discretionary,-646.6392953797941,-2602.963586597363,-1956.3242912175683,-2.5132607106570504e-10
False,0%,No change,0.0,0.0,0.0,0.0
False,3%,BAU,1232260.8544208254,2436370.694156133,1204109.8397353075,7155252.7367453845
False,3%,KCl subsitute (10%) all foods,-301.01937500458246,-2256.2961927779324,-1955.27681777335,-4656.413207241327
False,3%,KCl subsitute (30%) envelope,-4233.282297175992,-10586.129613693813,-6352.847316517821,-15488.733882140408
False,3%,KCl subsitute (4.5%) discretionary,-448.6673438346781,-1525.267697629906,-1076.600353795228,-2497.906783540552
False,3%,No change,0.0,0.0,0.0,0.0
